employer,jan,feb,mar,apr,may,total,months_active,avg_per_month,size_category
Arka Intellect Limited,0,0,0,1,0,1,1,1.0,1 permit
Arkphire Networks Ltd,0,0,0,0,1,1,1,1.0,1 permit
Arkphire Services,1,0,0,1,0,2,2,1.0,2-5 permits
Arkray Ireland Limited,0,0,1,0,0,1,1,1.0,1 permit
Arm Ireland Limited,1,0,0,0,0,1,1,1.0,1 permit
Arma Distribution Limited,1,0,0,0,0,1,1,1.0,1 permit
Armaani Foods Limited,0,1,0,0,0,1,1,1.0,1 permit
Armalou Group Management Services Ltd,0,0,0,0,1,1,1,1.0,1 permit
Aro Cumarsaid Teoranta,0,0,1,0,0,1,1,1.0,1 permit
Arslanahsan Limited,1,0,0,0,0,1,1,1.0,1 permit
Arthur Cox LLP,0,1,0,0,0,1,1,1.0,1 permit
Arthur J. Gallagher Insurance Brokers (Ireland) Limited,1,2,0,0,0,3,2,1.5,2-5 permits
Asahi Concepts Limited,1,2,0,0,0,3,2,1.5,2-5 permits
ASCENX Technologies (Vietnam) Company Limited,0,0,1,0,0,1,1,1.0,1 permit
Ascot Freight Limited,0,0,2,0,0,2,1,2.0,2-5 permits
Asendia Limited,0,1,0,0,0,1,1,1.0,1 permit
Ashbourne Holdings Ltd,1,0,0,0,0,1,1,1.0,1 permit
Ashbourne Meats Roscrea UC,0,0,0,0,5,5,1,5.0,2-5 permits
Ashbury Nursing Home Ltd,2,0,0,1,2,5,3,1.7,2-5 permits
Ashdale Care (Ireland) Ltd,0,0,1,0,0,1,1,1.0,1 permit
Ashdown Park Hotel Ltd,0,1,0,0,0,1,1,1.0,1 permit
Ashford Castle Hotel Limited,0,0,1,1,0,2,2,1.0,2-5 permits
Ashford House Nursing Home Limited,0,2,0,0,0,2,1,2.0,2-5 permits
Ashgrove Engineering Limited,0,0,0,0,12,12,1,12.0,6-20 permits
Ashgrove Fireproofing Ltd,0,0,1,0,0,1,1,1.0,1 permit
Ashgrove Wholesale Ltd,0,1,0,2,2,5,3,1.7,2-5 permits
Ashlawn Nursing Home Limited,0,0,0,3,0,3,1,3.0,2-5 permits
Ashley Lodge Nursing Home Ltd,1,0,0,0,0,1,1,1.0,1 permit
Ashley Martin Ltd,2,0,0,0,0,2,1,2.0,2-5 permits
ASL Shared Services Limited,1,0,0,0,0,1,1,1.0,1 permit
ASM Catering LTD,0,0,0,0,1,1,1,1.0,1 permit
ASM Service Support Ireland Limited,0,0,2,0,0,2,1,2.0,2-5 permits
ASM Service Support Ireland Ltd,1,4,0,0,0,5,2,2.5,2-5 permits
ASM Tech Limited,0,0,0,0,1,1,1,1.0,1 permit
ASML Ireland Limited,1,1,2,0,0,4,3,1.3,2-5 permits
Aspenvale Limited,1,0,0,0,0,1,1,1.0,1 permit
Aspiegel SE,1,0,0,2,0,3,2,1.5,2-5 permits
Aspire Systems Digital Transformation Limited,0,0,0,0,1,1,1,1.0,1 permit
ASQUARED Retail Ltd,1,0,0,1,0,2,2,1.0,2-5 permits
"Astellas Ireland Co.,Limited",0,2,0,1,0,3,2,1.5,2-5 permits
Aston Catering Limited,1,0,0,0,0,1,1,1.0,1 permit
AstraZeneca Pharmaceuticals (Ireland) Designated Activity Company,0,1,0,0,0,1,1,1.0,1 permit
Astreya Consultancy Ireland Limited,1,0,0,0,1,2,2,1.0,2-5 permits
Astrology Events Ireland Limited,0,0,1,0,0,1,1,1.0,1 permit
A-TechSYN Limited,1,0,0,0,0,1,1,1.0,1 permit
Atercin Liffey Unlimited Company,0,0,0,0,1,1,1,1.0,1 permit
Atex and Verification Services Ltd.,0,0,1,0,1,2,2,1.0,2-5 permits
Athassel House Stud Limited,1,0,0,2,1,4,3,1.3,2-5 permits
Athlone Apache Pizza Limited,2,0,0,0,0,2,1,2.0,2-5 permits
Athlone Supervalu Ltd,0,1,1,0,0,2,2,1.0,2-5 permits
Athlone Town AFC CLG,0,0,2,0,0,2,1,2.0,2-5 permits
Athlunkard Nursing Home Limited,1,0,1,2,0,4,3,1.3,2-5 permits
AtkinsRéalis Limited,4,3,3,6,3,19,5,3.8,6-20 permits
Atlanta Nursing Home Ltd,0,1,1,0,0,2,2,1.0,2-5 permits
Atlantach Technical Services,0,1,0,1,1,3,3,1.0,2-5 permits
Atlantic Academy Limited,0,0,0,0,1,1,1,1.0,1 permit
Atlantic Aviation Group Limited H2,2,6,0,0,0,8,2,4.0,6-20 permits
Atlantic Flight Training Limited,0,1,0,0,1,2,2,1.0,2-5 permits
Atlantic Troy Limited,0,1,1,0,1,3,3,1.0,2-5 permits
Atlas Risk Advisory,0,0,0,0,1,1,1,1.0,1 permit
Atlas TS Ireland Limited,0,0,0,0,1,1,1,1.0,1 permit
Atlas Tyre & Autoservice (Baldoyle) Ltd,0,0,0,1,0,1,1,1.0,1 permit
Atoo Information Technology Ltd,0,1,0,0,0,1,1,1.0,1 permit
Attila Antal,1,0,0,0,0,1,1,1.0,1 permit
Atview Enterprises Limited,0,0,4,1,0,5,2,2.5,2-5 permits
Aubren Limited,0,1,0,0,0,1,1,1.0,1 permit
Audiology Medical Services Limited,0,2,0,1,0,3,2,1.5,2-5 permits
Aughinish Aluminia,0,1,0,0,0,1,1,1.0,1 permit
AUGUSTA LIFE SCIENCES RESEARCH CENTER LIMITED,1,0,0,0,0,1,1,1.0,1 permit
Auldstone Crafts Limited,0,0,1,0,0,1,1,1.0,1 permit
Aura Foods Limited,0,1,0,0,0,1,1,1.0,1 permit
Aura Life Limited,0,0,0,0,1,1,1,1.0,1 permit
Autism Initiatives Ireland Company Limited,0,1,0,0,0,1,1,1.0,1 permit
Automated Industrial Robotics Shannon,0,0,0,1,0,1,1,1.0,1 permit
Automatic Plastics Limited,0,0,0,0,1,1,1,1.0,1 permit
Avanacar Ltd,0,1,1,0,0,2,2,1.0,2-5 permits
Avansa IT Solutions Limited,0,0,0,1,0,1,1,1.0,1 permit
Avia Solutions Group (ASG) Public Limited Company,0,0,1,0,0,1,1,1.0,1 permit
Avista Company Limited By Guarantee,0,0,0,1,0,1,1,1.0,1 permit
Aviva Group Services Ireland Limited,0,1,0,0,0,1,1,1.0,1 permit
Avoncourt Packaging Ltd,0,1,0,1,0,2,2,1.0,2-5 permits
Avril Ryan T/A Tiny Tots,1,0,0,0,0,1,1,1.0,1 permit
AWP Health & Life SA,1,0,0,0,0,1,1,1.0,1 permit
AXA Partners,1,0,0,0,0,1,1,1.0,1 permit
